repository,pr_number,author,primary_reviewer,first_review_latency_hours,discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,66149,PrafulVRaj,majestic-owl448,0.75,1,14,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,66147,AdityaSingh-18,Jeevankumar-s,0.07,4,2,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66143,gangulysiddhartha22-cmyk,majestic-owl448,1.91,1,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66141,camperbot,DanielRosa74,0.61,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66140,Jeevankumar-s,majestic-owl448,6.54,2,24,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,66133,camperbot,majestic-owl448,5.89,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66130,imsanupm,majestic-owl448,0.03,5,4,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66128,ojeytonwilliams,raisedadead,2.02,6,13,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,66126,AdityaSingh-18,majestic-owl448,0.03,1,2,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66124,ash-win19,majestic-owl448,1.0,13,8,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66122,cesarinsalad,majestic-owl448,19.51,3,4,7,0.14,0,Noisy Author
freeCodeCamp/freeCodeCamp,66120,nieldakarla,copilot-pull-request-reviewer,0.84,3,37,27,0.89,148,Core Reviewer
freeCodeCamp/freeCodeCamp,66116,iAakash1,majestic-owl448,0.14,4,9,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66115,estefaniacn,nieldakarla,0.2,3,537,41,0.95,13,Core Reviewer
freeCodeCamp/freeCodeCamp,66113,lockinginfor2026-arch,majestic-owl448,18.46,2,14,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66112,thefool309,majestic-owl448,1.16,1,28,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66111,camperbot,ojeytonwilliams,0.43,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66110,ojeytonwilliams,DanielRosa74,0.1,1,12,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,66106,AdityaSingh-18,majestic-owl448,3.58,2,180,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66103,AdityaSingh-18,majestic-owl448,45.54,1,3,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66097,AdityaSingh-18,majestic-owl448,0.09,4,5,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66088,camperbot,Sembauke,5.51,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66082,Aryankpoor,gikf,6.7,2,8,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,66080,jordantrent,gikf,6.81,2,12,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66038,farchettiensis,a2937,1.57,2,2,10,0.9,0,Reliable Author
freeCodeCamp/freeCodeCamp,66030,AdityaSingh-18,Jeevankumar-s,17.0,4,6,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66027,ragini-pandey,majestic-owl448,1.23,3,8,5,0.4,0,Noisy Author
freeCodeCamp/freeCodeCamp,66026,Sembauke,ojeytonwilliams,0.06,1,3,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,66024,Sembauke,estefaniacn,56.13,2,7,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,66023,Supravisor,majestic-owl448,3.31,1,2,144,0.9,1,Reliable Author
freeCodeCamp/freeCodeCamp,66020,moT01,nieldakarla,0.08,1,12,146,0.97,392,Core Reviewer
freeCodeCamp/freeCodeCamp,66015,yeonjuan,raisedadead,2.75,2,222,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66013,Sembauke,raisedadead,4.6,2,110,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,66012,camperbot,Sembauke,0.25,1,2804,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66011,Sembauke,raisedadead,1.2,1,95,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,66004,MostafaElsehy,majestic-owl448,0.0,1,6,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65986,AdityaSingh-18,majestic-owl448,9.68,1,59,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65983,moT01,Sembauke,32.74,1,1,146,0.97,392,Core Reviewer
freeCodeCamp/freeCodeCamp,65976,majestic-owl448,raisedadead,16.58,3,1573,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65974,raisedadead,ojeytonwilliams,8.11,2,28,116,0.89,361,Core Reviewer
freeCodeCamp/freeCodeCamp,65969,ojeytonwilliams,raisedadead,8.51,1,8,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65965,AdityaSingh-18,majestic-owl448,0.59,2,122,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65962,raisedadead,ojeytonwilliams,0.13,2,26,116,0.89,361,Core Reviewer
freeCodeCamp/freeCodeCamp,65960,raisedadead,ojeytonwilliams,0.51,1,12,116,0.89,361,Core Reviewer
freeCodeCamp/freeCodeCamp,65957,Dario-DC,majestic-owl448,0.24,2,6,53,0.96,282,Core Reviewer
freeCodeCamp/freeCodeCamp,65945,shubham-t-rai,majestic-owl448,1.63,1,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65942,ojeytonwilliams,moT01,6.6,1,46,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65941,ojeytonwilliams,raisedadead,0.02,3,44,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65940,camperbot,majestic-owl448,1.32,1,1454,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65938,AdityaSingh-18,gikf,1.14,4,2,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65936,DanielRosa74,ojeytonwilliams,25.1,2,46,25,0.96,65,Core Reviewer
freeCodeCamp/freeCodeCamp,65933,ojeytonwilliams,raisedadead,3.56,3,2,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65899,Jeevankumar-s,majestic-owl448,21.87,2,4,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65895,camperbot,majestic-owl448,23.76,1,12758,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65885,Jeevankumar-s,majestic-owl448,0.71,5,5,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65884,Jeevankumar-s,majestic-owl448,0.06,5,4,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65881,majestic-owl448,zairahira,30.62,2,109,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65878,ojeytonwilliams,majestic-owl448,65.38,3,73,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65877,ojeytonwilliams,naomi-freecodecamp,0.28,2,284,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65876,Jeevankumar-s,majestic-owl448,0.12,7,73,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65872,majestic-owl448,Jeevankumar-s,4.06,3,114,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65871,ojeytonwilliams,Sembauke,27.97,1,7,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65870,jdwilkin4,ahmaxed,44.25,3,2412,74,0.95,601,Core Reviewer
