repository,pr_number,author,primary_reviewer,first_review_latency_hours,time_to_merge_hours,first_review_state,inline_comment_density,total_discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,66149,PrafulVRaj,majestic-owl448,0.75,1.28,APPROVED,0.0,1,14,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,66147,AdityaSingh-18,Jeevankumar-s,0.07,1.68,CHANGES_REQUESTED,0.0,4,2,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,66143,gangulysiddhartha22-cmyk,majestic-owl448,1.91,2.43,APPROVED,0.0,1,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66141,camperbot,DanielRosa74,0.61,0.62,APPROVED,0.0,1,2,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,66140,Jeevankumar-s,majestic-owl448,6.54,9.84,COMMENTED,0.0417,2,24,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,66133,camperbot,majestic-owl448,5.89,5.89,APPROVED,0.0,1,2,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,66130,imsanupm,majestic-owl448,0.03,13.76,CHANGES_REQUESTED,0.5,5,4,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66128,ojeytonwilliams,raisedadead,2.02,2.03,APPROVED,0.0,6,13,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,66126,AdityaSingh-18,majestic-owl448,0.03,0.47,APPROVED,0.0,1,2,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,66124,ash-win19,majestic-owl448,1.0,17.02,CHANGES_REQUESTED,0.25,13,8,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66122,cesarinsalad,majestic-owl448,19.51,19.51,APPROVED,0.0,3,4,7,0.14,0,Noisy Author
freeCodeCamp/freeCodeCamp,66120,nieldakarla,copilot-pull-request-reviewer,0.84,16.54,COMMENTED,0.0,3,37,41,0.88,194,Core Reviewer
freeCodeCamp/freeCodeCamp,66116,iAakash1,majestic-owl448,0.14,23.2,APPROVED,0.0,4,9,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66115,estefaniacn,nieldakarla,0.2,1.45,COMMENTED,0.0037,3,537,50,0.96,14,Core Reviewer
freeCodeCamp/freeCodeCamp,66113,lockinginfor2026-arch,majestic-owl448,18.46,18.91,APPROVED,0.0,2,14,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66112,thefool309,majestic-owl448,1.16,1.63,APPROVED,0.0,1,28,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66111,camperbot,ojeytonwilliams,0.43,0.59,APPROVED,0.0,1,2,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,66110,ojeytonwilliams,DanielRosa74,0.1,0.48,APPROVED,0.0,1,12,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,66106,AdityaSingh-18,majestic-owl448,3.58,25.98,APPROVED,0.0,2,180,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,66103,AdityaSingh-18,majestic-owl448,45.54,45.54,APPROVED,0.0,1,3,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,66097,AdityaSingh-18,majestic-owl448,0.09,23.21,COMMENTED,0.4,4,5,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,66088,camperbot,Sembauke,5.51,5.51,APPROVED,0.0,1,2,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,66082,Aryankpoor,gikf,6.7,9.9,APPROVED,0.0,2,8,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,66080,jordantrent,gikf,6.81,10.12,APPROVED,0.0,2,12,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66070,ragini-pandey,majestic-owl448,0.58,1.17,COMMENTED,0.1,2,20,7,0.43,0,Noisy Author
freeCodeCamp/freeCodeCamp,66060,ojeytonwilliams,raisedadead,2.32,2.32,APPROVED,0.0,1,29,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,66059,AdityaSingh-18,majestic-owl448,1.86,18.03,COMMENTED,0.0345,3,58,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,66052,camperbot,Sembauke,46.95,46.95,APPROVED,0.0,1,2634,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,66039,Supravisor,majestic-owl448,7.59,7.59,APPROVED,0.0,2,2,268,0.85,1,Reliable Author
freeCodeCamp/freeCodeCamp,66038,farchettiensis,a2937,1.57,10.6,APPROVED,0.0,2,2,11,0.91,0,Reliable Author
freeCodeCamp/freeCodeCamp,66032,AdityaSingh-18,majestic-owl448,0.04,0.45,APPROVED,0.0,1,16,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,66030,AdityaSingh-18,Jeevankumar-s,17.0,20.86,CHANGES_REQUESTED,0.3333,4,6,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,66027,ragini-pandey,majestic-owl448,1.23,6.37,COMMENTED,0.125,3,8,7,0.43,0,Noisy Author
freeCodeCamp/freeCodeCamp,66026,Sembauke,ojeytonwilliams,0.06,0.46,APPROVED,0.0,1,3,242,0.78,923,Core Reviewer
freeCodeCamp/freeCodeCamp,66024,Sembauke,estefaniacn,56.13,56.22,APPROVED,0.0,2,7,242,0.78,923,Core Reviewer
