name,url,stargazerCount,createdAt,pushedAt,total_prs,contributor_count,collectedAt
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,443995,2014-12-24T17:49:19Z,2026-05-01T17:16:17Z,28238,5902,2026-05-01T21:12:35Z
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,353996,2017-03-15T13:45:52Z,2026-04-29T07:43:21Z,4175,1495,2026-05-01T21:12:35Z
n8n-io/n8n,https://github.com/n8n-io/n8n,186393,2019-06-22T09:24:21Z,2026-05-01T20:39:14Z,15579,696,2026-05-01T21:12:35Z
microsoft/vscode,https://github.com/microsoft/vscode,184455,2015-09-03T20:23:38Z,2026-05-01T21:07:39Z,46455,2437,2026-05-01T21:12:35Z
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,122330,2020-01-02T01:04:43Z,2026-04-30T11:54:18Z,3868,361,2026-05-01T21:12:35Z
iptv-org/iptv,https://github.com/iptv-org/iptv,115666,2018-11-14T22:00:57Z,2026-05-01T09:28:10Z,6870,380,2026-05-01T21:12:35Z
public-apis/public-apis,https://github.com/public-apis/public-apis,429968,2016-03-20T23:49:42Z,2026-03-18T16:28:22Z,1872,1234,2026-05-01T21:12:38Z
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,387471,2013-10-11T06:50:37Z,2026-04-24T13:32:32Z,7360,3157,2026-05-01T21:12:38Z
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,220593,2016-07-16T09:44:01Z,2026-04-13T22:10:46Z,3075,1339,2026-05-01T21:12:38Z
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162684,2022-08-22T14:05:26Z,2026-03-02T07:00:53Z,1876,589,2026-05-01T21:12:38Z
huggingface/transformers,https://github.com/huggingface/transformers,160151,2018-10-29T13:56:00Z,2026-05-01T17:49:59Z,19283,3820,2026-05-01T21:12:38Z
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,160068,2020-10-26T04:22:55Z,2026-04-30T22:23:21Z,3267,1515,2026-05-01T21:12:38Z
facebook/react,https://github.com/facebook/react,244790,2013-05-24T16:15:54Z,2026-04-29T20:18:39Z,12832,1787,2026-05-01T21:12:41Z
vercel/next.js,https://github.com/vercel/next.js,139247,2016-10-05T23:32:51Z,2026-05-01T20:56:24Z,26851,3825,2026-05-01T21:12:41Z
nodejs/node,https://github.com/nodejs/node,117010,2014-11-26T19:57:11Z,2026-05-01T16:18:52Z,12252,3705,2026-05-01T21:12:41Z
mrdoob/three.js,https://github.com/mrdoob/three.js,112272,2010-03-23T18:58:01Z,2026-04-30T14:34:03Z,15460,2043,2026-05-01T21:12:41Z
axios/axios,https://github.com/axios/axios,109042,2014-08-18T22:30:27Z,2026-05-01T18:28:05Z,1308,588,2026-05-01T21:12:41Z
mui/material-ui,https://github.com/mui/material-ui,98260,2014-08-18T19:11:54Z,2026-05-01T20:14:49Z,21832,3100,2026-05-01T21:12:41Z
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,155363,2018-05-07T13:27:00Z,2026-05-01T00:55:00Z,1240,630,2026-05-01T21:12:44Z
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93962,2014-08-09T16:45:18Z,2026-03-20T21:23:33Z,1520,457,2026-05-01T21:12:44Z
elastic/elasticsearch,https://github.com/elastic/elasticsearch,76620,2010-02-08T13:20:56Z,2026-05-01T20:32:08Z,90045,4057,2026-05-01T21:12:44Z
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,65510,2016-07-16T10:21:02Z,2026-04-27T18:42:34Z,2307,817,2026-05-01T21:12:44Z
google/guava,https://github.com/google/guava,51499,2014-05-29T16:23:17Z,2026-05-01T20:27:00Z,1296,331,2026-05-01T21:12:46Z
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,49828,2015-10-21T08:26:28Z,2026-05-01T15:37:23Z,6920,415,2026-05-01T21:12:46Z
microsoft/PowerToys,https://github.com/microsoft/PowerToys,132691,2019-05-01T17:44:02Z,2026-05-01T16:12:39Z,6561,623,2026-05-01T21:12:50Z
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,53250,2016-01-13T23:41:35Z,2026-05-01T21:03:38Z,8285,488,2026-05-01T21:12:50Z
jellyfin/jellyfin,https://github.com/jellyfin/jellyfin,50920,2018-12-09T06:36:45Z,2026-05-01T15:15:57Z,5282,1389,2026-05-01T21:12:50Z
files-community/Files,https://github.com/files-community/Files,43232,2019-01-04T18:19:14Z,2026-05-01T16:22:35Z,5594,302,2026-05-01T21:12:50Z
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,37882,2014-03-11T06:09:42Z,2026-05-01T19:43:31Z,19002,3411,2026-05-01T21:12:50Z
AvaloniaUI/Avalonia,https://github.com/AvaloniaUI/Avalonia,30680,2013-12-05T20:13:21Z,2026-05-01T02:41:06Z,5807,548,2026-05-01T21:12:50Z
